iter	Passed	Remaining
170	425	2062
171	431	2076
172	433	2070
173	434	2064
174	446	2106
175	448	2099
176	450	2092
177	460	2127
178	462	2120
179	463	2112
180	465	2106
181	471	2119
182	472	2111
183	474	2104
184	476	2097
185	477	2089
186	478	2081
187	480	2074
188	481	2067
189	503	2148
190	505	2140
191	507	2134
192	509	2128
193	510	2121
194	512	2113
195	513	2106
196	534	2177
197	540	2189
198	542	2184
199	544	2178
200	550	2190
201	553	2185
202	584	2296
203	587	2292
204	589	2285
205	590	2277
206	592	2269
207	595	2269
208	604	2286
209	606	2280
210	607	2272
211	608	2263
212	616	2279
213	618	2270
214	619	2262
215	620	2253
216	622	2245
217	623	2237
218	625	2229
219	630	2234
220	631	2226
221	636	2229
222	637	2221
223	645	2237
224	650	2240
225	652	2233
226	653	2225
227	654	2216
228	660	2222
229	664	2223
230	665	2215
231	667	2208
232	668	2200
233	669	2192
234	671	2186
235	675	2185
236	676	2178
237	677	2170
238	679	2163
239	683	2163
240	687	2164
241	689	2160
242	691	2152
243	692	2145
244	695	2142
245	697	2137
246	698	2130
247	706	2141
248	707	2134
249	709	2127
250	711	2124
251	714	2119
252	717	2119
253	720	2116
254	721	2109
255	735	2138
256	737	2131
257	738	2124
258	740	2117
259	743	2116
260	744	2108
261	746	2101
262	750	2103
263	752	2096
264	754	2093
265	756	2086
266	757	2079
267	758	2072
268	762	2072
269	765	2068
270	766	2062
271	768	2055
272	780	2078
273	782	2072
274	783	2065
275	784	2058
276	786	2051
277	787	2044
278	788	2038
279	795	2045
280	796	2039
281	799	2034
282	800	2028
283	802	2022
284	803	2016
285	805	2009
286	806	2003
287	809	2002
288	812	1999
289	814	1993
290	816	1988
291	817	1982
292	818	1976
293	820	1969
294	821	1963
295	825	1964
296	828	1962
297	830	1955
298	831	1949
299	832	1943
300	834	1937
301	835	1931
302	837	1925
303	842	1929
304	844	1923
305	845	1918
306	847	1913
307	849	1907
308	850	1901
309	851	1895
310	858	1901
311	860	1896
312	861	1891
313	863	1885
314	864	1879
315	865	1873
316	867	1868
317	870	1867
318	872	1863
319	876	1862
320	877	1856
321	879	1851
322	880	1845
323	881	1840
324	885	1839
325	889	1838
326	890	1832
327	892	1827
328	893	1822
329	894	1816
330	896	1811
331	911	1833
332	912	1827
333	913	1822
334	922	1830
335	923	1824
336	924	1819
337	925	1813
338	927	1807
339	928	1802
340	932	1801
341	934	1798
342	935	1792
343	937	1787
344	938	1781
345	939	1776
346	940	1770
347	942	1765
348	943	1759
349	944	1754
350	948	1753
351	949	1748
352	950	1742
353	952	1737
354	953	1732
355	954	1726
356	955	1721
357	957	1716
358	958	1710
359	959	1705
360	963	1705
361	964	1699
362	965	1694
363	967	1690
364	968	1684
365	969	1679
366	971	1674
367	972	1669
368	973	1664
369	974	1659
370	977	1657
371	980	1655
372	981	1650
373	982	1645
374	984	1640
375	985	1635
376	986	1630
377	987	1625
378	988	1620
379	990	1615
380	994	1615
381	995	1610
382	996	1605
383	999	1602
384	1000	1598
385	1001	1593
386	1002	1588
387	1004	1583
388	1005	1578
389	1006	1574
390	1010	1573
391	1011	1569
392	1013	1564
393	1014	1560
394	1015	1555
395	1016	1550
396	1017	1546
397	1019	1541
398	1020	1537
399	1021	1532
400	1029	1537
401	1030	1533
402	1032	1529
403	1035	1526
404	1036	1522
405	1037	1517
406	1042	1519
407	1043	1514
408	1045	1510
409	1046	1506
410	1047	1501
411	1049	1497
412	1050	1492
413	1051	1488
414	1052	1484
415	1056	1483
416	1058	1479
417	1059	1475
418	1060	1471
419	1062	1466
420	1063	1462
421	1064	1458
422	1065	1453
423	1066	1449
424	1068	1445
425	1072	1445
426	1073	1440
427	1074	1436
428	1076	1432
429	1077	1428
430	1078	1423
431	1079	1419
432	1081	1415
433	1082	1411
434	1083	1407
435	1087	1406
436	1088	1402
437	1089	1398
438	1091	1394
439	1092	1390
440	1094	1386
441	1095	1383
442	1105	1389
443	1106	1385
444	1108	1381
445	1109	1377
